Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;90001;Freifläche ;EG;;2'050;;1005.L0001;LEERSTAND;01.01.2023;;;;;;;;;;;0;;;;;;;;;;;1'025;0;-100.0%;;6.00;0.00;;;;;;;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;90003;Freifläche ;EG;;250;;1005.00005;OMEGA Pilzno ITiS Godawski & Godawski Sp. Z o.oo;01.07.2024;;;;;;;;;;;0;;0.25;;;;18'000;1'500;;;;125;1'500;-91.7%;72.00;6.00;72.00;;;150;;7.20;1'650;79.20;1;;false;;;;;true;;;;;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;11001;Halle;EG;;3'603;;1005.00004;Rhenus Archiv Services GmbH;01.01.2025;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;475'300;39'608;;;;39'601;;-0.0%;131.90;131.88;;;6'486;;21.60;;46'094;153.50;1;;false;;;;;true;Datum;;01.01.2027;90%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;12000;Halle;EG;;7'084;;1005.00004;Rhenus Archiv Services GmbH;01.01.2023;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;680'340;56'695;;;;56'670;54'515;-0.0%;96.04;96.00;92.35;;12'751;;21.60;;69'446;117.64;1;;false;;;;;true;Datum;;01.01.2027;90%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;15000;Empore/Mezzanine;1. OG;;2'426;;1005.00004;Rhenus Archiv Services GmbH;01.01.2023;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;108'718;9'060;;;;9'048;8'711;-0.1%;44.82;44.76;43.10;;4'366;;21.60;;13'426;66.42;1;;false;;;;;true;Datum;;01.01.2027;90%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;20104;Büro;1. OG;;1'419;;1005.00004;Rhenus Archiv Services GmbH;01.01.2025;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;219'928;18'327;;;;18'322;17'987;-0.0%;154.96;154.92;152.09;;2'555;;21.60;;20'882;176.56;1;;false;;;;;true;Datum;;01.01.2027;90%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;50001;Stellplätze;EG;20;;;1005.00004;Rhenus Archiv Services GmbH;01.01.2023;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;6'660;555;;;;555;10'400;0.0%;;;;;0;;;;555;;1;;false;;;;;true;Datum;;01.01.2027;90%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;50002;Stellplätze;EG;13;;;1005.00004;Rhenus Archiv Services GmbH;01.01.2025;31.12.2032;;31.12.2032;;;;;120;31.12.2031;31.12.2042;0;31.12.2042;6.69;;;;4'329;361;;;;361;354;0.0%;;;;;0;;;;361;;1;;false;;;;;true;Datum;;01.01.2027;90%;0
1005 - Karlsfeld, Einsteinstraße 2;;;;;;;;59;21'264;;;;;;;;;;;;;;;;;6.54;;;;1'649'595;137'466;;;;138'912;104'828;1.1%;77.58;78.39;59.16;;33'224;150;18.75;0.08;170'841;96.41;100.00%;;;;;;;;;;;;
GLIFPLUSII;1006;Ottendorf;Berlin;;10001;Halle;EG;;7'102;;1006.00001;Splendid Drinks GmbH;01.01.2021;31.08.2029;;31.08.2029;;;;;;;;0;;3.36;;;;385'372;32'114;;;;32'101;32'114;-0.0%;54.26;54.24;54.26;;4'725;;7.98;;36'839;62.25;1;;false;;;;;true;Schwelle;10.00%;;100%;0
